user_id,gender,age_band,signup_date
U0000,F,30s,2024-01-13
U0001,F,20s,2024-03-12
U0002,F,30s,2024-10-06
U0003,F,20s,2024-01-16
U0004,F,20s,2024-11-04
U0005,F,20s,2024-11-28
U0006,F,20s,2024-08-17
U0007,F,30s,2024-01-04
U0008,F,20s,2024-08-04
U0009,F,20s,2024-06-21
U0010,F,20s,2024-07-02
U0011,F,30s,2024-01-23
U0012,F,20s,2024-07-12
U0013,F,20s,2024-11-17
U0014,F,30s,2024-10-22
U0015,F,10s,2024-12-04
U0016,M,20s,2024-02-10
U0017,F,30s,2024-07-13
U0018,F,30s,2024-07-05
U0019,F,20s,2024-12-09
U0020,F,40s,2024-11-27
U0021,F,30s,2024-09-30
U0022,F,20s,2024-07-13
U0023,F,40s,2024-12-18
U0024,F,30s,2024-01-29
U0025,F,10s,2024-06-10
U0026,M,10s,2024-10-17
U0027,F,20s,2024-12-01
U0028,F,30s,2024-11-25
U0029,F,20s,2024-05-06
U0030,F,20s,2024-10-26
U0031,F,20s,2024-07-04
U0032,F,40s,2024-09-17
U0033,F,30s,2024-02-26
U0034,F,20s,2024-12-14
U0035,F,10s,2024-07-14
U0036,M,20s,2024-05-08
U0037,F,30s,2024-01-06
U0038,F,20s,2024-10-01
U0039,F,30s,2024-06-23
U0040,F,20s,2024-08-20
U0041,M,30s,2024-05-14
U0042,M,30s,2024-09-16
U0043,F,30s,2024-06-01
U0044,F,20s,2024-04-11
U0045,M,30s,2024-10-03
U0046,F,40s,2024-01-01
U0047,M,20s,2024-02-27
U0048,F,30s,2024-06-06
U0049,M,20s,2024-10-17
U0050,F,10s,2024-09-05
U0051,F,40s,2024-09-29
U0052,M,20s,2024-08-31
U0053,M,20s,2024-09-27
U0054,M,20s,2024-04-18
U0055,F,30s,2024-12-19
U0056,F,20s,2024-12-09
U0057,F,20s,2024-09-21
U0058,F,20s,2024-02-02
U0059,F,20s,2024-04-27
U0060,F,10s,2024-12-28
U0061,M,20s,2024-01-17
U0062,F,10s,2024-05-01
U0063,F,20s,2024-10-03
U0064,F,40s,2024-10-19
U0065,F,20s,2024-08-30
U0066,F,20s,2024-02-19
U0067,F,20s,2024-07-29
U0068,F,30s,2024-12-10
U0069,F,30s,2024-02-01
U0070,F,20s,2024-02-25
U0071,F,20s,2024-08-17
U0072,F,20s,2024-08-24
U0073,F,40s,2024-08-14
U0074,F,30s,2024-02-20
U0075,M,40s,2024-01-08
U0076,F,40s,2024-05-01
U0077,M,20s,2024-04-19
U0078,F,40s,2024-03-25
U0079,M,40s,2024-05-15
U0080,F,30s,2024-05-26
U0081,F,40s,2024-10-11
U0082,F,20s,2024-04-07
U0083,F,40s,2024-10-23
U0084,F,10s,2024-06-09
U0085,M,20s,2024-09-14
U0086,M,20s,2024-01-30
U0087,F,10s,2024-04-05
U0088,F,10s,2024-04-30
U0089,F,40s,2024-10-18
U0090,F,20s,2024-11-13
U0091,F,30s,2024-10-16
U0092,F,40s,2024-04-14
U0093,F,20s,2024-05-15
U0094,F,30s,2024-06-02
U0095,F,40s,2024-02-07
U0096,M,30s,2024-10-15
U0097,F,10s,2024-04-19
U0098,M,20s,2024-06-27
U0099,F,30s,2024-07-08
U0100,F,20s,2024-10-05
U0101,F,30s,2024-11-30
U0102,F,30s,2024-10-10
U0103,F,30s,2024-03-09
U0104,F,30s,2024-10-10
U0105,F,20s,2024-04-17
U0106,M,20s,2024-11-20
U0107,M,20s,2024-05-08
U0108,F,30s,2024-02-17
U0109,F,30s,2024-01-23
U0110,M,30s,2024-11-22
U0111,F,20s,2024-08-14
U0112,F,20s,2024-01-05
U0113,M,40s,2024-12-19
U0114,F,20s,2024-07-08
U0115,F,20s,2024-03-06
U0116,M,20s,2024-01-21
U0117,F,20s,2024-05-07
U0118,M,20s,2024-10-13
U0119,F,20s,2024-11-13
U0120,M,40s,2024-05-01
U0121,M,40s,2024-03-31
U0122,F,10s,2024-06-19
U0123,M,20s,2024-12-08
U0124,F,30s,2024-05-16
U0125,M,30s,2024-07-14
U0126,F,30s,2024-04-23
U0127,F,40s,2024-06-28
U0128,F,30s,2024-04-26
U0129,F,30s,2024-07-23
U0130,F,30s,2024-05-22
U0131,M,20s,2024-12-13
U0132,F,20s,2024-01-15
U0133,F,40s,2024-04-01
U0134,F,40s,2024-01-20
U0135,F,20s,2024-06-09
U0136,F,40s,2024-02-29
U0137,F,20s,2024-05-10
U0138,M,20s,2024-09-23
U0139,F,20s,2024-12-09
U0140,M,20s,2024-12-06
U0141,F,30s,2024-12-05
U0142,F,30s,2024-06-02
U0143,F,30s,2024-06-16
U0144,F,20s,2024-03-06
U0145,F,30s,2024-07-13
U0146,F,40s,2024-11-11
U0147,F,20s,2024-01-01
U0148,F,20s,2024-10-23
U0149,F,20s,2024-08-14
U0150,F,20s,2024-08-30
U0151,F,40s,2024-03-27
U0152,F,20s,2024-12-05
U0153,F,20s,2024-04-30
U0154,F,20s,2024-04-11
U0155,F,10s,2024-08-31
U0156,F,30s,2024-08-21
U0157,F,30s,2024-04-09
U0158,F,20s,2024-07-23
U0159,M,30s,2024-01-03
U0160,F,30s,2024-02-24
U0161,F,20s,2024-12-22
U0162,M,10s,2024-05-07
U0163,F,20s,2024-03-09
U0164,F,30s,2024-10-13
U0165,F,40s,2024-08-14
U0166,F,30s,2024-09-15
U0167,M,40s,2024-08-16
U0168,F,30s,2024-08-31
U0169,F,30s,2024-11-22
U0170,F,30s,2024-09-05
U0171,F,20s,2024-02-09
U0172,F,20s,2024-06-20
U0173,F,20s,2024-03-11
U0174,F,20s,2024-03-19
U0175,F,10s,2024-07-27
U0176,F,20s,2024-02-01
U0177,M,20s,2024-10-26
U0178,F,10s,2024-10-21
U0179,F,10s,2024-06-29
U0180,F,20s,2024-08-02
U0181,M,30s,2024-11-04
U0182,F,20s,2024-05-19
U0183,F,10s,2024-06-21
U0184,F,30s,2024-03-25
U0185,F,40s,2024-11-14
U0186,F,40s,2024-10-30
U0187,F,10s,2024-11-25
U0188,F,30s,2024-04-03
U0189,F,20s,2024-04-18
U0190,F,20s,2024-07-13
U0191,F,40s,2024-08-03
U0192,F,10s,2024-01-10
U0193,F,10s,2024-06-28
U0194,F,10s,2024-11-29
U0195,F,10s,2024-05-06
U0196,F,10s,2024-03-19
U0197,F,20s,2024-02-28
U0198,F,20s,2024-12-24
U0199,F,20s,2024-11-06
U0200,F,30s,2024-02-28
U0201,F,20s,2024-06-08
U0202,F,10s,2024-06-08
U0203,F,40s,2024-07-11
U0204,F,30s,2024-02-08
U0205,F,30s,2024-05-04
U0206,F,30s,2024-12-16
U0207,F,20s,2024-10-16
U0208,F,20s,2024-08-07
U0209,F,10s,2024-11-27
U0210,F,30s,2024-09-07
U0211,M,40s,2024-11-21
U0212,F,20s,2024-03-19
U0213,F,30s,2024-11-29
U0214,F,30s,2024-10-02
U0215,F,20s,2024-10-30
U0216,F,30s,2024-02-14
U0217,F,20s,2024-08-25
U0218,F,30s,2024-06-21
U0219,F,30s,2024-04-03
U0220,F,20s,2024-05-12
U0221,M,30s,2024-12-25
U0222,M,20s,2024-09-21
U0223,F,10s,2024-07-27
U0224,F,30s,2024-12-19
U0225,F,30s,2024-08-17
U0226,F,10s,2024-04-23
U0227,F,20s,2024-12-05
U0228,F,20s,2024-09-28
U0229,F,40s,2024-10-08
U0230,F,30s,2024-05-18
U0231,F,20s,2024-04-08
U0232,F,30s,2024-12-19
U0233,F,20s,2024-09-04
U0234,F,20s,2024-09-25
U0235,F,40s,2024-04-09
U0236,F,20s,2024-06-03
U0237,F,20s,2024-05-20
U0238,F,10s,2024-05-29
U0239,F,20s,2024-09-08
U0240,F,10s,2024-05-25
U0241,M,20s,2024-04-04
U0242,F,20s,2024-09-01
U0243,F,10s,2024-09-08
U0244,F,30s,2024-01-28
U0245,F,30s,2024-06-04
U0246,F,20s,2024-10-12
U0247,F,30s,2024-11-12
U0248,M,20s,2024-08-18
U0249,M,20s,2024-10-28
U0250,F,20s,2024-11-13
U0251,M,40s,2024-02-20
U0252,F,20s,2024-04-18
U0253,F,10s,2024-05-02
U0254,F,10s,2024-01-02
U0255,F,30s,2024-08-28
U0256,F,20s,2024-12-27
U0257,F,30s,2024-02-06
U0258,F,40s,2024-11-16
U0259,F,30s,2024-04-11
U0260,F,20s,2024-11-27
U0261,F,20s,2024-03-13
U0262,F,20s,2024-06-06
U0263,F,30s,2024-05-27
U0264,F,20s,2024-06-04
U0265,F,40s,2024-09-13
U0266,F,20s,2024-11-02
U0267,F,20s,2024-06-14
U0268,M,10s,2024-04-27
U0269,F,30s,2024-10-21
U0270,F,10s,2024-12-10
U0271,F,20s,2024-03-30
U0272,F,30s,2024-05-22
U0273,F,20s,2024-11-21
U0274,F,40s,2024-08-28
U0275,F,20s,2024-12-09
U0276,F,20s,2024-07-29
U0277,F,20s,2024-07-24
U0278,F,20s,2024-08-20
U0279,M,20s,2024-02-29
U0280,F,20s,2024-09-20
U0281,F,10s,2024-10-04
U0282,F,10s,2024-09-22
U0283,F,30s,2024-11-16
U0284,F,10s,2024-05-16
U0285,M,40s,2024-08-12
U0286,M,20s,2024-01-15
U0287,F,30s,2024-05-02
U0288,F,20s,2024-01-08
U0289,F,10s,2024-02-28
U0290,F,20s,2024-03-19
U0291,F,30s,2024-09-17
U0292,M,20s,2024-09-04
U0293,F,20s,2024-10-09
U0294,F,20s,2024-11-02
U0295,F,30s,2024-02-05
U0296,F,30s,2024-07-31
U0297,F,30s,2024-05-16
U0298,F,20s,2024-06-01
U0299,F,20s,2024-12-03
